Algorithm,Level,Total Food,Total Steps,Average Time (ms),Average Expansion,Replans,Game Over Reason
BFS,Easy,21,208,0.5296,104.64,22,No Path Found (Trapped)
BFS,Easy,34,424,0.4749,118.86,35,No Path Found (Trapped)
BFS,Easy,34,355,0.3659,93.03,35,No Path Found (Trapped)
BFS,Easy,39,411,0.4194,97.83,40,No Path Found (Trapped)
BFS,Easy,44,477,0.3423,91.91,45,No Path Found (Trapped)
A*,Easy,66,1000,0.7012,39.53,89,Step Limit Reached
A*,Easy,65,1000,0.742,43.77,74,Step Limit Reached
A*,Easy,69,1000,0.7258,34.68,85,Step Limit Reached
A*,Easy,65,924,0.8097,38.27,81,Self-collision
A*,Easy,47,581,0.7379,31.63,49,Self-collision
BFS,Medium,58,955,0.7603,176.12,59,No Path Found (Trapped)
BFS,Medium,54,1000,0.9461,192.96,55,Step Limit Reached
BFS,Medium,40,629,0.7668,174.9,41,No Path Found (Trapped)
BFS,Medium,33,496,0.8034,169.5,34,No Path Found (Trapped)
BFS,Medium,39,625,0.6902,174.4,40,No Path Found (Trapped)
A*,Medium,67,1000,1.3435,41.11,70,Step Limit Reached
A*,Medium,53,1000,1.696,59.55,56,Step Limit Reached
A*,Medium,21,368,1.2402,46.59,22,No Path Found (Trapped)
A*,Medium,56,1000,1.5966,60.78,64,Step Limit Reached
A*,Medium,51,922,1.4395,46.61,54,Self-collision
BFS,Hard,44,1000,1.4101,298.89,45,Step Limit Reached
BFS,Hard,47,1000,1.3998,282.25,48,Step Limit Reached
BFS,Hard,47,1000,1.346,297.04,48,Step Limit Reached
BFS,Hard,49,1000,1.227,276.52,50,Step Limit Reached
BFS,Hard,42,1000,1.3461,304.67,43,Step Limit Reached
A*,Hard,51,1000,2.0734,83.65,54,Step Limit Reached
A*,Hard,56,1000,1.7469,52.79,57,Step Limit Reached
A*,Hard,51,1000,2.2169,69.94,52,Step Limit Reached
A*,Hard,48,1000,2.1866,83.1,51,Step Limit Reached
A*,Hard,45,1000,2.5518,85.52,46,Step Limit Reached
